Order_ID,Order_Date,Customer_Segment,Priority,Product_Category,Order_Value_INR,Origin,Destination,Special_Handling
ORD000063,2025-10-20,Individual,Economy,Food & Beverage,1075.03,Kolkata,Singapore,None
ORD000064,2025-10-10,Individual,Standard,Home Goods,58.17,Mumbai,Bangkok,None
ORD000065,2025-09-04,Individual,Economy,Fashion,267.45,Hyderabad,Mumbai,None
ORD000066,2025-09-02,Individual,Economy,Healthcare,1004.43,Delhi,Pune,Fragile
ORD000067,2025-09-06,SMB,Express,Electronics,5239.28,Pune,Singapore,None
ORD000068,2025-10-12,Enterprise,Economy,Books,1390.4,Kolkata,Bangalore,None
ORD000069,2025-09-04,Enterprise,Standard,Electronics,5759.28,Chennai,Singapore,None
ORD000070,2025-09-29,Individual,Economy,Home Goods,221.95,Pune,Mumbai,None
ORD000071,2025-09-18,SMB,Standard,Healthcare,587.15,Delhi,Bangkok,None
ORD000072,2025-09-26,Enterprise,Economy,Books,1351.0,Pune,Bangkok,None
ORD000073,2025-10-14,Enterprise,Standard,Home Goods,12.31,Mumbai,Dubai,Fragile
ORD000074,2025-10-04,SMB,Express,Fashion,3890.16,Bangalore,Bangkok,Temperature_Controlled
ORD000075,2025-09-10,Enterprise,Economy,Food & Beverage,24.75,Delhi,Dubai,None
ORD000076,2025-10-06,Enterprise,Express,Electronics,1799.76,Bangalore,Hyderabad,None
ORD000077,2025-09-14,SMB,Standard,Industrial,1130.31,Mumbai,Hong Kong,None
ORD000078,2025-10-01,SMB,Economy,Industrial,12.07,Hyderabad,Chennai,None
ORD000079,2025-10-18,SMB,Economy,Healthcare,13.02,Hyderabad,Bangkok,None
ORD000080,2025-09-15,Enterprise,Standard,Fashion,3458.96,Pune,Hyderabad,None
ORD000081,2025-09-08,Individual,Standard,Electronics,2495.1,Mumbai,Ahmedabad,None
ORD000082,2025-09-14,Enterprise,Standard,Fashion,107.63,Chennai,Hyderabad,None
ORD000083,2025-09-23,SMB,Standard,Electronics,107.47,Bangalore,Bangkok,None
ORD000084,2025-10-10,Individual,Standard,Healthcare,870.36,Delhi,Hong Kong,None
ORD000085,2025-09-21,SMB,Standard,Healthcare,395.79,Delhi,Dubai,None
ORD000086,2025-09-16,Individual,Economy,Industrial,1961.75,Delhi,Chennai,None
ORD000087,2025-10-15,SMB,Economy,Fashion,828.3,Chennai,Ahmedabad,None
ORD000088,2025-09-18,SMB,Economy,Books,4335.3,Bangalore,Hong Kong,Fragile
ORD000089,2025-10-17,Enterprise,Express,Industrial,1728.69,Bangalore,Hong Kong,None
ORD000090,2025-09-24,SMB,Standard,Fashion,1189.35,Mumbai,Bangkok,Hazmat
ORD000091,2025-09-26,Enterprise,Express,Industrial,237.89,Mumbai,Hyderabad,None
ORD000092,2025-09-25,Enterprise,Standard,Books,213.15,Mumbai,Ahmedabad,Fragile
ORD000093,2025-10-15,Individual,Standard,Food & Beverage,373.29,Ahmedabad,Delhi,None
ORD000094,2025-10-11,SMB,Economy,Food & Beverage,6383.13,Mumbai,Kolkata,Fragile
ORD000095,2025-09-29,Individual,Standard,Food & Beverage,219.33,Mumbai,Bangalore,Fragile
ORD000096,2025-09-15,SMB,Express,Food & Beverage,596.33,Delhi,Ahmedabad,None
ORD000097,2025-10-15,Individual,Express,Home Goods,13.91,Kolkata,Delhi,None
ORD000098,2025-09-01,SMB,Economy,Electronics,1111.77,Ahmedabad,Bangkok,None
ORD000099,2025-09-25,SMB,Standard,Home Goods,11917.91,Kolkata,Mumbai,None
ORD000100,2025-09-07,SMB,Express,Home Goods,99.44,Chennai,Dubai,None
ORD000101,2025-09-09,Enterprise,Express,Home Goods,47177.07,Bangalore,Mumbai,None
ORD000102,2025-09-24,Individual,Economy,Food & Beverage,530.26,Mumbai,Singapore,None
ORD000103,2025-09-01,Enterprise,Express,Books,8.5,Pune,Delhi,None
ORD000104,2025-10-14,Enterprise,Economy,Healthcare,226.26,Kolkata,Singapore,Fragile
ORD000105,2025-09-08,SMB,Economy,Healthcare,2968.04,Chennai,Bangalore,None
ORD000106,2025-09-24,Enterprise,Express,Electronics,8094.79,Kolkata,Pune,Hazmat
ORD000107,2025-09-11,Individual,Express,Food & Beverage,1184.59,Kolkata,Bangalore,None
ORD000108,2025-09-17,Individual,Economy,Food & Beverage,4236.07,Chennai,Ahmedabad,None
ORD000109,2025-09-08,Individual,Standard,Food & Beverage,68.95,Ahmedabad,Hong Kong,None
ORD000110,2025-10-05,SMB,Standard,Industrial,145.42,Pune,Dubai,None
ORD000111,2025-10-05,Enterprise,Economy,Fashion,32.49,Chennai,Delhi,Fragile
ORD000112,2025-10-03,Individual,Economy,Industrial,162.78,Chennai,Hyderabad,None
ORD000113,2025-09-05,SMB,Economy,Fashion,1265.06,Mumbai,Pune,Fragile
ORD000114,2025-10-12,Individual,Economy,Food & Beverage,555.01,Chennai,Kolkata,None
ORD000115,2025-10-09,Individual,Standard,Food & Beverage,1482.93,Mumbai,Kolkata,None
ORD000116,2025-10-11,Individual,Express,Industrial,99.01,Bangalore,Kolkata,None
ORD000117,2025-09-28,Enterprise,Economy,Industrial,108.5,Ahmedabad,Delhi,None
ORD000118,2025-09-07,SMB,Standard,Fashion,548.35,Bangalore,Kolkata,None
ORD000119,2025-09-09,Individual,Standard,Healthcare,163.37,Bangalore,Bangkok,None
ORD000120,2025-09-08,SMB,Economy,Fashion,2843.45,Delhi,Mumbai,None
ORD000121,2025-09-12,Enterprise,Express,Industrial,157.41,Mumbai,Pune,None
ORD000122,2025-10-04,SMB,Standard,Books,191.89,Kolkata,Mumbai,None
ORD000123,2025-10-03,Individual,Express,Industrial,756.16,Mumbai,Hong Kong,None
ORD000124,2025-10-18,SMB,Standard,Books,224.99,Mumbai,Pune,None
ORD000125,2025-09-23,SMB,Express,Electronics,63.28,Delhi,Mumbai,None
ORD000126,2025-09-24,Enterprise,Express,Industrial,77.55,Kolkata,Pune,None
ORD000127,2025-10-07,SMB,Express,Electronics,903.84,Kolkata,Hong Kong,None
ORD000128,2025-10-05,Individual,Standard,Healthcare,52.56,Mumbai,Singapore,None
ORD000129,2025-10-14,Enterprise,Economy,Fashion,3280.49,Bangalore,Bangkok,None
ORD000130,2025-10-10,SMB,Standard,Books,143.22,Bangalore,Delhi,None
ORD000131,2025-09-22,Individual,Economy,Fashion,1016.71,Chennai,Delhi,Temperature_Controlled
ORD000132,2025-09-27,Individual,Standard,Electronics,156.71,Chennai,Kolkata,None
ORD000133,2025-10-05,SMB,Standard,Books,102.22,Delhi,Bangkok,None
ORD000134,2025-09-01,Individual,Economy,Fashion,583.56,Bangalore,Chennai,None
ORD000135,2025-10-05,SMB,Standard,Industrial,1954.08,Bangalore,Kolkata,None
ORD000136,2025-10-07,Enterprise,Economy,Food & Beverage,278.37,Hyderabad,Ahmedabad,None
ORD000137,2025-10-17,Individual,Express,Electronics,365.69,Bangalore,Bangkok,None
ORD000138,2025-09-14,Individual,Economy,Fashion,1354.42,Delhi,Mumbai,Temperature_Controlled
ORD000139,2025-09-03,Individual,Express,Electronics,1423.38,Delhi,Pune,None
ORD000140,2025-09-01,Individual,Economy,Home Goods,380.8,Bangalore,Chennai,None
ORD000141,2025-09-05,SMB,Standard,Electronics,207.43,Kolkata,Bangkok,None
ORD000142,2025-09-26,SMB,Economy,Books,456.68,Bangalore,Hong Kong,None
ORD000143,2025-09-14,Individual,Express,Home Goods,302.97,Chennai,Ahmedabad,None
ORD000144,2025-10-09,SMB,Standard,Books,645.14,Kolkata,Hong Kong,None
ORD000145,2025-09-27,Individual,Economy,Food & Beverage,67.26,Bangalore,Delhi,None
ORD000146,2025-09-09,Individual,Standard,Home Goods,611.41,Delhi,Bangalore,Temperature_Controlled
ORD000147,2025-09-15,Individual,Standard,Industrial,137.35,Hyderabad,Chennai,None
ORD000148,2025-09-15,SMB,Standard,Electronics,1570.0,Delhi,Mumbai,None
ORD000149,2025-09-26,SMB,Standard,Fashion,147.13,Bangalore,Chennai,None
ORD000150,2025-10-12,Enterprise,Standard,Healthcare,151.01,Ahmedabad,Dubai,None
ORD000151,2025-09-13,SMB,Standard,Electronics,786.9,Mumbai,Ahmedabad,None
ORD000152,2025-10-02,Enterprise,Economy,Electronics,412.12,Mumbai,Ahmedabad,None
ORD000153,2025-10-09,SMB,Express,Food & Beverage,12270.8,Delhi,Bangkok,Fragile
ORD000154,2025-10-19,SMB,Standard,Industrial,35.02,Pune,Chennai,Fragile
ORD000155,2025-10-02,Enterprise,Economy,Healthcare,475.7,Mumbai,Bangalore,None
ORD000156,2025-09-04,SMB,Economy,Home Goods,2196.18,Mumbai,Kolkata,Temperature_Controlled
ORD000157,2025-09-30,Enterprise,Standard,Home Goods,169.45,Mumbai,Pune,None
ORD000158,2025-10-07,Enterprise,Standard,Home Goods,102.94,Mumbai,Bangkok,None
ORD000159,2025-09-23,Individual,Standard,Books,109.26,Mumbai,Bangkok,None
ORD000160,2025-10-09,SMB,Express,Books,35.95,Bangalore,Chennai,Hazmat
ORD000161,2025-10-15,Enterprise,Standard,Fashion,3055.07,Bangalore,Mumbai,None
ORD000162,2025-09-15,SMB,Standard,Healthcare,246.06,Delhi,Singapore,None
ORD000163,2025-10-13,Individual,Standard,Home Goods,206.02,Delhi,Hyderabad,None
ORD000164,2025-09-29,Enterprise,Express,Books,16.67,Mumbai,Hyderabad,None
ORD000165,2025-10-06,SMB,Economy,Fashion,46.97,Delhi,Bangkok,None
ORD000166,2025-09-13,Enterprise,Economy,Industrial,3633.98,Bangalore,Kolkata,None
ORD000167,2025-10-02,Enterprise,Standard,Fashion,635.66,Kolkata,Pune,None
ORD000168,2025-09-07,SMB,Standard,Books,2320.99,Mumbai,Chennai,None
ORD000169,2025-09-22,SMB,Standard,Food & Beverage,1919.82,Bangalore,Dubai,None
ORD000170,2025-09-28,SMB,Economy,Food & Beverage,89.93,Delhi,Hyderabad,None
ORD000171,2025-09-02,Individual,Standard,Home Goods,15440.85,Hyderabad,Bangalore,None
ORD000172,2025-10-12,Individual,Express,Food & Beverage,7514.57,Chennai,Bangkok,None
ORD000173,2025-10-15,SMB,Economy,Home Goods,173.18,Bangalore,Mumbai,None
ORD000174,2025-09-06,SMB,Economy,Home Goods,1.91,Delhi,Hong Kong,None
ORD000175,2025-09-28,Individual,Economy,Books,236.32,Pune,Hyderabad,None
ORD000176,2025-09-28,Enterprise,Economy,Food & Beverage,576.77,Mumbai,Bangalore,Hazmat
ORD000177,2025-10-14,SMB,Standard,Home Goods,172.16,Mumbai,Chennai,None
ORD000178,2025-10-14,Enterprise,Standard,Healthcare,289.37,Delhi,Mumbai,None
ORD000179,2025-09-20,Enterprise,Economy,Industrial,116.4,Mumbai,Dubai,None
ORD000180,2025-09-30,Individual,Economy,Fashion,1607.53,Pune,Singapore,None
ORD000181,2025-09-11,Individual,Express,Fashion,443.83,Kolkata,Delhi,None
ORD000182,2025-09-28,SMB,Express,Books,1681.21,Delhi,Bangkok,None
ORD000183,2025-09-25,SMB,Standard,Food & Beverage,2523.26,Bangalore,Singapore,None
ORD000184,2025-10-09,Enterprise,Economy,Food & Beverage,15.46,Ahmedabad,Dubai,None
ORD000185,2025-10-03,Enterprise,Economy,Home Goods,127.0,Hyderabad,Mumbai,Temperature_Controlled
ORD000186,2025-09-01,Enterprise,Express,Electronics,158.22,Chennai,Hyderabad,Fragile
ORD000187,2025-09-27,SMB,Standard,Home Goods,19092.65,Pune,Singapore,None
ORD000188,2025-09-13,Individual,Standard,Industrial,504.47,Ahmedabad,Bangkok,None
ORD000189,2025-10-11,SMB,Economy,Healthcare,1364.91,Kolkata,Delhi,Fragile
ORD000190,2025-09-03,Enterprise,Economy,Fashion,24.02,Mumbai,Kolkata,None
ORD000191,2025-10-09,Individual,Economy,Home Goods,500.11,Delhi,Ahmedabad,None
ORD000192,2025-09-06,Individual,Standard,Electronics,1750.12,Hyderabad,Bangalore,Hazmat
ORD000193,2025-09-08,SMB,Standard,Electronics,1469.9,Mumbai,Hyderabad,None
ORD000194,2025-09-27,SMB,Standard,Home Goods,1027.72,Hyderabad,Singapore,None
ORD000195,2025-09-09,SMB,Express,Books,411.37,Mumbai,Hong Kong,Hazmat
ORD000196,2025-10-07,Enterprise,Economy,Fashion,442.46,Mumbai,Chennai,None
ORD000197,2025-10-03,SMB,Economy,Books,31.82,Delhi,Kolkata,None
ORD000198,2025-10-12,Individual,Economy,Healthcare,104.5,Mumbai,Dubai,None
ORD000199,2025-10-14,Enterprise,Economy,Electronics,570.44,Pune,Ahmedabad,Fragile
ORD000200,2025-09-24,Enterprise,Standard,Electronics,137.83,Hyderabad,Mumbai,Temperature_Controlled
